Animal ID,Date of Birth,Name,DateTime,MonthYear,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A680855,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680857,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680858,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680859,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680860,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680861,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680862,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A680863,5/25/14,,2014-06-10T00:00:00-05:00,Jun-14,Transfer,Partner,Bird,Unknown,2 weeks,Duck,Yellow/Black
A683090,4/22/14,Jenny Tyson,2014-07-11T00:00:00-05:00,Jul-14,Adoption,,Dog,Spayed Female,2 months,Black Mouth Cur Mix,Brown/Black
A683591,6/12/14,,2014-07-12T00:00:00-05:00,Jul-14,Transfer,Partner,Bird,Unknown,4 weeks,Catbird Mix,Brown
A683693,6/29/14,,2014-07-14T00:00:00-05:00,Jul-14,Transfer,Partner,Bird,Unknown,2 weeks,Grackle Mix,Black/White
A686222,3/13/14,,2014-08-20T00:00:00-05:00,Aug-14,Transfer,Partner,Bird,Intact Male,5 months,Silkie Mix,Black
A688001,7/12/14,,2014-09-16T00:00:00-05:00,Sep-14,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White
A688002,7/12/14,,2014-09-16T00:00:00-05:00,Sep-14,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White
A687621,3/7/14,,2014-09-16T00:00:00-05:00,Sep-14,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown
A687622,3/7/14,,2014-09-16T00:00:00-05:00,Sep-14,Transfer,Partner,Bird,Unknown,6 months,Chicken Mix,Brown
A688000,7/12/14,,2014-09-17T00:00:00-05:00,Sep-14,Transfer,Partner,Bird,Unknown,2 months,Bantam Mix,White
A693750,12/14/13,*Stetson,2014-12-23T00:00:00-05:00,Dec-14,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White
A694113,6/20/13,Rooster,2014-12-23T00:00:00-05:00,Dec-14,Transfer,Partner,Bird,Intact Male,1 year,Chicken Mix,Brown/Black
A694191,4/22/14,,2014-12-27T00:00:00-05:00,Dec-14,Transfer,Partner,Dog,Intact Male,8 months,Shiba Inu Mix,Tan
A694447,12/7/14,,2014-12-29T00:00:00-05:00,Dec-14,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby
A694454,12/7/14,,2014-12-29T00:00:00-05:00,Dec-14,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Blue Tabby
A604679,12/27/08,Snowball,2015-01-01T00:00:00-05:00,Jan-15,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Cream
A694566,12/25/14,,2015-01-02T00:00:00-05:00,Jan-15,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black/White
A694726,8/31/11,Giselle,2015-01-12T00:00:00-05:00,Jan-15,Transfer,Partner,Dog,Spayed Female,3 years,Golden Retriever/Labrador Retriever,Gold
A695037,1/7/12,*Nellie,2015-01-12T00:00:00-05:00,Jan-15,Transfer,Partner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White
A695071,1/8/12,*Rebel,2015-01-12T00:00:00-05:00,Jan-15,Transfer,Partner,Dog,Neutered Male,3 years,Miniature Pinscher,Red
A554865,9/8/08,Pepe,2015-01-12T00:00:00-05:00,Jan-15,Transfer,Partner,Dog,Neutered Male,6 years,Chihuahua Shorthair,White
A693975,12/18/13,*Roscoe,2015-01-27T00:00:00-05:00,Jan-15,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White
A696346,2/3/12,Valentine,2015-02-09T00:00:00-05:00,Feb-15,Transfer,Partner,Dog,Intact Female,3 years,Havanese Mix,White/Gray
A697599,12/25/14,*Jasper,2015-02-28T00:00:00-05:00,Feb-15,Transfer,Partner,Cat,Intact Female,2 months,Domestic Longhair Mix,Torbie
A693369,12/6/12,Cupcake,2015-03-11T00:00:00-05:00,Mar-15,Adoption,Foster,Dog,Spayed Female,2 years,Pekingese Mix,White
A698568,3/13/12,Bella,2015-03-14T00:00:00-05:00,Mar-15,Adoption,,Dog,Intact Female,3 years,Chihuahua Shorthair,Sable
A699665,3/31/14,Lemon,2015-04-01T00:00:00-05:00,Apr-15,Transfer,Partner,Bird,Unknown,1 year,Parakeet Mix,Yellow
A699767,2/8/15,Bluebonnet,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White
A699768,2/8/15,Daffodil,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Female,1 month,Shih Tzu Mix,Tan
A699769,2/8/15,Roger Rabbit,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Black
A699770,2/8/15,Latte,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,White/Chocolate
A699771,2/8/15,,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Male,1 month,Shih Tzu Mix,Cream/Black
A699779,4/2/13,,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu,Tan
